id	date_reviews	rating	course_id	reviews	reviews_transl	reviewers	lang
0	Aug 27, 2019	1	ai-for-everyone	Very general, as a large chunck of it could apply with little change to other topics, such as IT in general, management of change etc.in the end, you know quite little, just a thin, very thin layer of knowledge, not even enough for friends discussion.To pay 45$ fo this is realovercharge, for 4 weeks with quite little substance each week.	Very general, as a large chunck of it could apply with little change to other topics, such as IT in general, management of change etc.in the end, you know quite little, just a thin, very thin layer of knowledge, not even enough for friends discussion.To pay 45$ fo this is realovercharge, for 4 weeks with quite little substance each week.	By Jean-Philippe B	en
1	Jun 12, 2019	1	ai-for-everyone	too much opinion rather than statement supported by facts	too much opinion rather than statement supported by facts	By Jelle F H	en
2	Mar 22, 2019	1	ai-for-everyone	Too low level information	Too low level information	By Sophie C	en
3	Jul 09, 2019	1	ai-for-everyone	Not that much of good .	Not that much of good .	By Binay S	en
4	May 29, 2020	1	ai-for-everyone	I did not find much information 	I did not find much information	By Mariyada K 	en
6	Jul 27, 2020	1	ai-for-everyone	Waste of money hardly talks anything meaningful about AI. Better read few articles on AI then wasting money on this course 	Waste of money hardly talks anything meaningful about AI. Better read few articles on AI then wasting money on this course	By Nitin S	en
7	Jul 09, 2020	1	ai-for-everyone	too dificult, and the professor was not helpful in clearing his point of view	too dificult, and the professor was not helpful in clearing his point of view	By  F U K	en
8	Jul 12, 2020	1	ai-for-everyone	This course is very useful for these days technology. 	This course is very useful for these days technology.	By Osupari M M	en
9	Jul 18, 2020	1	ai-for-everyone	I'm not getting my certificate by mail	I'm not getting my certificate by mail	By shreya t 	en
10	May 17, 2020	1	ai-for-everyone	Nice. Good experience	Nice. Good experience	By Battu u	en
16	Apr 26, 2019	2	ai-for-everyone	I only found the optional videos to be useful, AI for everyone should be a stepping stone for non programmers to understand how different techniques work without them having to code.	I only found the optional videos to be useful, AI for everyone should be a stepping stone for non programmers to understand how different techniques work without them having to code.	By rahul	en
17	Mar 06, 2019	2	ai-for-everyone	Pretty basic and not very insightful. Some interesting videos and use cases, but was expecting a little more and a bit more challenging. 	Pretty basic and not very insightful. Some interesting videos and use cases, but was expecting a little more and a bit more challenging.	By Ian H	en
18	Apr 11, 2020	2	ai-for-everyone	This was really basic. I expected much more content. Not sure this content qualifies anyone to make any sound decisions about AI.	This was really basic. I expected much more content. Not sure this content qualifies anyone to make any sound decisions about AI.	By Samridh K	en
19	Apr 27, 2020	2	ai-for-everyone	Very trivial course and can be summarized more quickly. Most people are eager to move forward 	Very trivial course and can be summarized more quickly. Most people are eager to move forward	By George I	en
20	Jul 13, 2020	2	ai-for-everyone	I am done with my verification and it's better option to choose it as learning  partner.	I am done with my verification and it's better option to choose it as learning  partner.	By Shirisha n	en
21	Oct 14, 2019	2	ai-for-everyone	Course Content is Just OK. Give a simple idea about AI.	Course Content is Just OK. Give a simple idea about AI.	By poornachandvanga	en
22	Apr 13, 2020	2	ai-for-everyone	I don't want to go through this course right now	I don't want to go through this course right now	By NICHERLA B	en
23	May 07, 2020	2	ai-for-everyone	Helpful for youngsters in this modern world	Helpful for youngsters in this modern world	By Revuri p k	en
24	Jul 31, 2020	2	ai-for-everyone	good course very useful to all the people	good course very useful to all the people	By Ruchitha	en
25	Apr 22, 2020	2	ai-for-everyone	kind of vague. not much actual substance.	kind of vague. not much actual substance.	By NATHAN W	en
26	May 20, 2020	2	ai-for-everyone	the content was not that much good	the content was not that much good	By DARSHAN S	en
